time,volts
0,2.82
265,2.83
526,2.83
786,2.83
1047,2.83
1308,2.83
1570,2.83
1832,2.83
2094,2.83
2356,2.83
2618,2.83
2879,2.84
3141,2.84
3403,2.85
3664,2.85
3927,2.86
4189,2.86
4450,2.86
4712,2.88
4973,2.87
5235,2.88
5497,2.88
5758,2.88
6021,2.88
6283,2.89
6544,2.88
6806,2.89
7068,2.88
7329,2.90
7591,2.89
7853,2.88
8115,2.90
8377,2.89
8638,2.89
8900,2.89
9162,2.89
9423,2.89
9686,2.89
9948,2.90
10209,2.89
10472,2.89
10735,2.89
10997,2.89
11260,2.90
11524,2.90
11786,2.90
12049,2.90
12312,2.90
12574,2.89
12837,2.89
13101,2.90
13364,2.90
13626,2.89
13889,2.90
14152,2.90
14414,2.90
14678,2.90
14941,2.89
15203,2.90
15466,2.90
15729,2.89
15991,2.90
16254,2.89
16518,2.81
16781,2.64
17043,2.44
17306,2.24
17569,2.05
17831,1.89
18095,1.74
18358,1.62
18620,1.52
18883,1.44
19146,1.36
19408,1.30
19672,1.24
19935,1.20
20198,1.17
20460,1.13
20723,1.10
20986,1.08
21249,1.06
21512,1.04
21775,1.02
22037,1.00
22300,0.99
22563,0.98
22825,0.97
23089,0.95
23352,0.94
23614,0.94
23877,0.93
24140,0.92
24403,0.91
24666,0.91
24929,0.90
25192,0.90
25454,0.89
25717,0.88
25980,0.88
26243,0.88
26506,0.87
26769,0.87
27031,0.87
27294,0.87
27557,0.87
27820,0.86
28083,0.86
28346,0.85
28609,0.85
28871,0.86
29134,0.85
29398,0.85
29660,0.85
29923,0.85
30186,0.85
30448,0.84
30711,0.85
30974,0.84
31237,0.85
31500,0.84
31763,0.84
32026,0.84
32288,0.84
32551,0.84
32815,0.84
33077,0.84
33340,0.84
33603,0.84
33865,0.84
34128,0.83
34392,0.84
34654,0.84
34917,0.84
35180,0.84
35443,0.83
35705,0.84
35969,0.84
36232,0.84
36494,0.83
36757,0.83
37020,0.83
37282,0.83
37545,0.84
37809,0.84
38071,0.86
38334,0.89
38597,0.94
38859,1.02
39122,1.13
39386,1.24
39649,1.35
39911,1.47
40174,1.57
40437,1.68
40699,1.77
40963,1.86
41226,1.96
41488,2.02
41751,2.10
42014,2.17
42276,2.23
42540,2.28
42803,2.32
43066,2.37
43328,2.41
43591,2.45
43854,2.49
44116,2.53
44380,2.54
44643,2.57
44905,2.60
45168,2.61
45431,2.64
45693,2.66
45957,2.67
46220,2.69
46483,2.70
46745,2.71
47008,2.72
47271,2.74
47534,2.75
47797,2.75
48060,2.77
48322,2.77
48585,2.78
48848,2.78
49111,2.79
49374,2.80
49637,2.81
49900,2.81
50162,2.83
50425,2.83
50689,2.83
50951,2.83
51214,2.83
51477,2.84
51739,2.84
52002,2.83
52265,2.85
52528,2.85
52791,2.85
53054,2.85
53317,2.85
53579,2.86
53842,2.86
54106,2.86
54368,2.86
54631,2.88
54894,2.86
55156,2.86
55419,2.87
55683,2.86
55945,2.88
56208,2.87
56471,2.88
56733,2.87
56996,2.88
57260,2.89
57523,2.89
57785,2.88
58048,2.88
58311,2.89
58573,2.88
58836,2.88
59100,2.88
59362,2.88
59625,2.88
59888,2.89
60150,2.89
60413,2.89
60677,2.89
60940,2.89
61202,2.89
61465,2.88
61728,2.89
61990,2.88
62254,2.81
62517,2.65
62779,2.46
63042,2.26
63305,2.07
63567,1.91
63831,1.76
64094,1.64
64357,1.53
64619,1.46
64882,1.38
65145,1.32
65408,1.27
65671,1.23
65934,1.18
66196,1.16
66459,1.12
66722,1.10
66984,1.09
67248,1.06
67511,1.04
67773,1.02
68036,1.01
68299,1.00
68562,0.99
68825,0.98
69088,0.97
69351,0.96
69613,0.95
69876,0.94
70139,0.93
70402,0.93
70665,0.93
70928,0.92
71190,0.92
71453,0.90
71716,0.90
71980,0.90
72242,0.89
72505,0.90
72768,0.89
73030,0.89
73293,0.89
73556,0.88
73819,0.88
74082,0.87
74345,0.88
74607,0.88
74870,0.87
75133,0.87
75396,0.87
75659,0.87
75922,0.87
76185,0.87
76447,0.87
76710,0.87
76974,0.87
77236,0.87
77499,0.86
77762,0.86
78024,0.86
78287,0.86
78551,0.86
78814,0.86
79076,0.86
79339,0.87
79602,0.85
79864,0.86
80128,0.87
80391,0.86
80653,0.86
80916,0.86
81179,0.86
81441,0.86
81704,0.86
81968,0.86
82230,0.86
82493,0.86
82756,0.86
83019,0.86
83281,0.86
83545,0.86
83808,0.86
84070,0.87
84333,0.86
84596,0.86
84858,0.86
85122,0.86
85385,0.86
85647,0.86
85910,0.86
86173,0.86
86436,0.86
86699,0.86
86962,0.86
87225,0.86
87487,0.86
87750,0.86
88013,0.86
88275,0.86
88539,0.86
88802,0.87
89064,0.86
89327,0.86
89590,0.86
89853,0.86
90116,0.86
90379,0.86
90642,0.86
90904,0.86
91167,0.86
91430,0.86
91693,0.87
91956,0.86
92219,0.86
92481,0.86
92744,0.86
93007,0.86
93270,0.86
93533,0.86
93796,0.86
94059,0.87
94321,0.86
94584,0.87
94848,0.86
95110,0.87
95373,0.86
95636,0.87
95898,0.86
96161,0.86
96424,0.86
96687,0.86
